seed_keyword,locale,category,search_intent,product_evidence,rationale,status
[keyword_01],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_02],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_03],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_04],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_05],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_06],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_07],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_08],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_09],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
[keyword_10],en-US,[product-category|core-task|feature|differentiator|problem|scenario],[intent],[claim_id],[why this seed follows from verified facts],CANDIDATE_SEED
